id,type,title,content,author,created_at
1,issue,"PostgresSaver 사용 시 연결 누수 문제","LangGraph에서 PostgresSaver를 사용하여 체크포인트를 저장할 때, 루프가 반복될수록 DB 커넥션 숫자가 계속 증가합니다. close가 제대로 안 되는 것 같아요.","dev_kim","2026-03-10"
2,comment,"Re: PostgresSaver 사용 시 연결 누수 문제","해당 문제는 JDBC 드라이버 버전보다는 LangGraph 내부의 pool 관리 로직 문제로 보입니다. 혹시 `pool_size` 설정을 따로 하셨나요?","admin_choi","2026-03-11"
3,comment,"Re: PostgresSaver 사용 시 연결 누수 문제","네, pool_size를 5로 설정했는데도 20개가 넘는 커넥션이 active 상태입니다.","dev_kim","2026-03-11"
4,issue,"Groq API 연동 시 Tool Choice 에러","Groq 모델을 사용하여 Tool 호출을 시도하면 'Invalid tool call' 에러가 빈번하게 발생합니다. 특히 bind_tools를 사용할 때 심하네요.","alpha_coder","2026-03-12"
5,comment,"Re: Groq API 연동 시 Tool Choice 에러","Groq은 현재 function calling 형식이 OpenAI와 미세하게 다릅니다. prompt에 system message로 tool 사용 형식을 명시해보세요.","llm_master","2026-03-12"
6,issue,"Docker 환경에서 H2 Database 연결 불가","OpenJDK 25-ea-slim 이미지를 사용하여 H2 서버를 띄웠는데, 외부 호스트에서 접근이 안 됩니다. 9092 포트 포워딩은 완료했습니다.","infra_genie","2026-03-13"
7,comment,"Re: Docker 환경에서 H2 Database 연결 불가","H2 실행 시 `-tcpAllowOthers` 옵션을 주셨나요? Docker 내부 로컬호스트로만 바인딩되어 있을 가능성이 큽니다.","admin_choi","2026-03-14"
8,issue,"LangGraph recursion_limit 초과 현상","복잡한 조건부 에지(Conditional Edge)를 짰는데, 순환 고리에 빠져서 25회 제한에 걸립니다. 시각화 도구가 필요합니다.","graph_fan","2026-03-15"
9,comment,"Re: LangGraph recursion_limit 초과 현상","`get_graph().draw_mermaid_png()`를 사용하여 로직을 먼저 확인해보세요. 의도치 않은 루프가 생성된 것 같습니다.","llm_master","2026-03-15"
10,issue,"MySQL Isolation Level 설정 문의","프로젝트에서 트랜잭션 격리 수준을 REPEATABLE READ로 쓰고 있는데, 체크포인트 저장 시 데드락이 발생합니다. READ COMMITTED가 권장되나요?","db_expert","2026-03-16"
11,comment,"Re: MySQL Isolation Level 설정 문의","맞습니다. LangChain의 SQL 기반 체크포인터는 높은 동시성을 요구하므로 READ COMMITTED를 권장합니다.","admin_choi","2026-03-16"
12,issue,"Custom ToolNode에서 에러 핸들링","ToolNode 실행 중 예외가 발생하면 전체 그래프가 멈춥니다. try-except 없이 노드 수준에서 핸들링하는 방법이 있나요?","error_fixer","2026-03-17"
13,comment,"Re: Custom ToolNode에서 에러 핸들링","`set_error_handler` 인터페이스를 구현하거나, 노드 출력값에 error 메시지를 포함하여 조건부 에지로 분기 처리하는 것을 추천합니다.","llm_master","2026-03-17"
14,issue,"한국어 프롬프트 템플릿 최적화 제안","번역 툴을 만들 때 한국어 조사가 깨지는 현상이 있습니다. Few-shot 예제를 한국어로 구성했을 때 성능이 훨씬 좋습니다.","korean_dev","2026-03-18"
15,comment,"Re: 한국어 프롬프트 템플릿 최적화 제안","좋은 지적입니다. 다음 릴리즈에 한국어 전용 프롬프트 템플릿 가이드를 추가하겠습니다.","admin_choi","2026-03-19"
16,issue,"RunnableLambda에서 async/await 지원 여부","LCEL로 구성한 체인에서 특정 함수만 비동기로 실행하고 싶은데, Sync와 Async를 섞어서 써도 되나요?","async_runner","2026-03-20"
17,comment,"Re: RunnableLambda에서 async/await 지원 여부","네, LangChain은 내부적으로 `ainvoke`를 통해 자동으로 동기 함수를 스레드 풀에서 실행하므로 혼용 가능합니다.","llm_master","2026-03-20"
18,issue,"Vector Store 검색 결과 중복 제거","ChromaDB에서 검색 결과가 동일한 문서의 다른 섹션일 때 중복이 많습니다. mmr 설정을 어떻게 하나요?","search_dev","2026-03-21"
