id,category,sub_category,title,content
1,경기운영,ABS,자동 투구 판정 시스템(ABS)의 정의,"ABS는 모든 투구의 볼-스트라이크 판정을 추적 시스템을 통해 자동 수행하며, 주심은 이어폰을 통해 수신된 결과를 공식 판정으로 선언한다."
2,경기운영,ABS,ABS 추적 실패 시 판정 절차,"기술적 결함으로 ABS 판정 수신이 불가능할 경우, 해당 투구에 한해 주심의 자체 판정으로 대체하며 양 팀 감독에게 즉시 고지한다."
3,경기운영,ABS,ABS 판정에 대한 이의 제기 금지,"ABS가 선언한 볼-스트라이크 판정에 대해서는 선수나 코칭스태프가 이의를 제기하거나 비디오 판독을 요청할 수 없다."
4,경기운영,피치클락,피치클락 제한 시간 규정,"투수는 주자가 없을 때 18초, 주자가 있을 때 23초 이내에 투구 동작을 시작해야 한다. 위반 시 볼 1개가 선언된다."
5,경기운영,피치클락,타자의 타석 이행 의무,"타자는 피치클락 잔여 시간이 8초가 되기 전까지 타석에 들어와 투구 준비를 마쳐야 한다. 위반 시 스트라이크 1개가 선언된다."
6,선수단관리,엔트리,1군 엔트리 등록 인원 제한,"KBO 리그 엔트리 등록 인원은 팀당 최대 28명이며, 경기 출전 인원은 26명으로 제한한다."
7,선수단관리,엔트리,확대 엔트리 운영 기간,"매년 9월 1일부터 시즌 종료 시까지 등록 인원을 28명에서 33명으로, 출전 인원을 31명으로 확대 운영한다."
8,선수단관리,부상자명단,부상자 명단(IL) 등록 조건,"현역 선수 엔트리에서 말소된 선수가 부상으로 인해 복귀가 불가능할 경우, 진단서를 첨부하여 10일/15일/30일 부상자 명단에 등록할 수 있다."
9,선수단관리,부상자명단,부상자 명단 소급 적용 규정,"엔트리 말소일로부터 최대 3일 전까지 소급하여 부상자 명단 기간을 산정할 수 있다. 단, 해당 기간 중 경기에 출전한 사실이 없어야 한다."
10,선수단관리,부상자명단,부상자 명단 선수 교체 제한,"부상자 명단에 등록된 선수는 최소 10일이 경과해야 1군 엔트리로 복귀할 수 있으며, 이 기간 동안 퓨처스 리그 경기에 출전할 수 없다."
11,경기규칙,비디오판독,비디오 판독 신청 기회 및 시간,"각 팀은 경기당 2회의 판독 기회를 가지며, 판독 결과가 번복될 경우 기회는 유지된다. 판독 요청은 판정 후 30초 이내에 행해져야 한다."
12,경기규칙,비디오판독,비디오 판독 대상 플레이 제한,"홈런 여부, 아웃/세이프, 야수의 포구, 파울/페어 등 규정된 항목 외의 판정(예: 체크스윙, ABS 판정)은 판독 대상에서 제외한다."
13,선수단관리,외국인선수,외국인 선수 고용 인원 제한,"구단은 최대 3명의 외국인 선수를 고용할 수 있으며, 한 경기에 동시에 출전할 수 있는 인원은 최대 2명으로 제한한다."
14,선수단관리,외국인선수,외국인 선수 샐러리캡 규정,"신규 외국인 선수의 총액(연봉, 계약금, 이적료 포함)은 100만 달러를 초과할 수 없으며, 재계약 시에는 매년 10만 달러씩 상한선이 증액된다."
15,선수단관리,외국인선수,대체 외국인 선수 영입 조건,"기존 외국인 선수가 6주 이상의 부상을 당할 경우, 부상자 명단 기간 동안 활용할 수 있는 단기 대체 외국인 선수를 영입할 수 있다."
16,선수계약,FA,FA 자격 취득 조건,"정규시즌 등록 일수가 145일 이상인 시즌이 9시즌(대졸 8시즌) 이상인 경우 FA 자격을 취득한다."
